20000
1,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,2,East Description
WEST,0,West Description
2,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,3,East Description
WEST,0,West Description
3,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,4,East Description
WEST,0,West Description
4,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,5,East Description
WEST,0,West Description
5,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,6,East Description
WEST,0,West Description
6,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,7,East Description
WEST,0,West Description
7,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,8,East Description
WEST,0,West Description
8,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,9,East Description
WEST,0,West Description
9,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,10,East Description
WEST,0,West Description
10,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,11,East Description
WEST,0,West Description
11,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,12,East Description
WEST,0,West Description
12,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,13,East Description
WEST,0,West Description
13,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,14,East Description
WEST,0,West Description
14,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,15,East Description
WEST,0,West Description
15,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,16,East Description
WEST,0,West Description
16,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,17,East Description
WEST,0,West Description
17,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,18,East Description
WEST,0,West Description
18,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,19,East Description
WEST,0,West Description
19,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,20,East Description
WEST,0,West Description
20,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,21,East Description
WEST,0,West Description
21,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,22,East Description
WEST,0,West Description
22,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,23,East Description
WEST,0,West Description
23,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,24,East Description
WEST,0,West Description
24,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,25,East Description
WEST,0,West Description
25,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,26,East Description
WEST,0,West Description
26,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,27,East Description
WEST,0,West Description
27,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,28,East Description
WEST,0,West Description
28,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,29,East Description
WEST,0,West Description
29,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,30,East Description
WEST,0,West Description
30,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,31,East Description
WEST,0,West Description
31,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,32,East Description
WEST,0,West Description
32,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,33,East Description
WEST,0,West Description
33,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,34,East Description
WEST,0,West Description
34,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,35,East Description
WEST,0,West Description
35,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,36,East Description
WEST,0,West Description
36,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,37,East Description
WEST,0,West Description
37,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,38,East Description
WEST,0,West Description
38,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,39,East Description
WEST,0,West Description
39,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,40,East Description
WEST,0,West Description
40,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,41,East Description
WEST,0,West Description
41,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,42,East Description
WEST,0,West Description
42,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,43,East Description
WEST,0,West Description
43,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,44,East Description
WEST,0,West Description
44,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,45,East Description
WEST,0,West Description
45,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,46,East Description
WEST,0,West Description
46,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,47,East Description
WEST,0,West Description
47,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,48,East Description
WEST,0,West Description
48,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,49,East Description
WEST,0,West Description
49,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,50,East Description
WEST,0,West Description
50,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,51,East Description
WEST,0,West Description
51,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,52,East Description
WEST,0,West Description
52,outside,Room Description,
NORTH,0,North Discription
SOUTH,2,South Descripton
EAST,53,East Description
WEST,0,West Description
53,outside,Room Description,
