5000
1,outside,Generic Room,
NORTH,2,Generic North
SOUTH,0,Generic South
EAST,0,Generic East
WEST,19,Generic West
2,outside,Generic Room,
NORTH,3,Generic North
SOUTH,1,Generic South
EAST,0,Generic East
WEST,17,Generic West
3,outside,Generic Room,
NORTH,0,Generic North
SOUTH,2,Generic South
EAST,4,Generic East
WEST,7,Generic West
4,outside,Generic Room,
NORTH,0,Generic North
SOUTH,2,Generic South
EAST,5,Generic East
WEST,3,Generic West
5,outside,Generic Room,
NORTH,0,Generic North
SOUTH,0,Generic South
EAST,6,Generic East
WEST,4,Generic West
6,outside,Generic Room,
NORTH,0,Generic North
SOUTH,0,Generic South
EAST,0,Generic East
WEST,5,Generic West
7,outside,Generic Room,
NORTH,8,Generic North
SOUTH,17,Generic South
EAST,3,Generic East
WEST,5,Generic West
8,outside,Generic Room,
NORTH,9,Generic North
SOUTH,7,Generic South
EAST,3,Generic East
WEST,0,Generic West
9,outside,Generic Room,
NORTH,10,Generic North
SOUTH,8,Generic South
EAST,0,Generic East
WEST,0,Generic West
10,outside,Generic Room,
NORTH,0,Generic North
SOUTH,9,Generic South
EAST,11,Generic East
WEST,12,Generic West
11,outside,Generic Room,
NORTH,0,Generic North
SOUTH,9,Generic South
EAST,0,Generic East
WEST,10,Generic West
12,outside,Generic Room,
NORTH,0,Generic North
SOUTH,0,Generic South
EAST,10,Generic East
WEST,13,Generic West
13,outside,Generic Room,
NORTH,0,Generic North
SOUTH,0,Generic South
EAST,12,Generic East
WEST,0,Generic West
14,outside,Generic Room,
NORTH,0,Generic North
SOUTH,25,Generic South
EAST,15,Generic East
WEST,23,Generic West
15,outside,Generic Room,
NORTH,19,Generic North
SOUTH,20,Generic South
EAST,0,Generic East
WEST,24,Generic West
16,outside,Generic Room,
NORTH,17,Generic North
SOUTH,15,Generic South
EAST,1,Generic East
WEST,14,Generic West
17,outside,Generic Room,
NORTH,7,Generic North
SOUTH,19,Generic South
EAST,2,Generic East
WEST,18,Generic West
18,outside,Generic Room,
NORTH,7,Generic North
SOUTH,16,Generic South
EAST,17,Generic East
WEST,0,Generic West
19,outside,Generic Room,
NORTH,17,Generic North
SOUTH,15,Generic South
EAST,1,Generic East
WEST,18,Generic West
20,outside,Generic Room,
NORTH,15,Generic North
SOUTH,27,Generic South
EAST,1,Generic East
