300
1,outside,Generic Room,
NORTH,96,Generic North
SOUTH,50,Generic South
EAST,56,Generic East
WEST,43,Generic West
2,outside,Generic Room,
NORTH,97,Generic North
SOUTH,49,Generic South
EAST,92,Generic East
WEST,48,Generic West
3,outside,Generic Room,
NORTH,57,Generic North
SOUTH,56,Generic South
EAST,4,Generic East
WEST,96,Generic West
4,outside,Generic Room,
NORTH,5,Generic North
SOUTH,0,Generic South
EAST,0,Generic East
WEST,92,Generic West
5,outside,Generic Room,
NORTH,84,Generic North
SOUTH,4,Generic South
EAST,6,Generic East
WEST,57,Generic West
6,outside,Generic Room,
NORTH,0,Generic North
SOUTH,4,Generic South
EAST,7,Generic East
WEST,5,Generic West
7,outside,Generic Room,
NORTH,8,Generic North
SOUTH,0,Generic South
EAST,0,Generic East
WEST,6,Generic West
8,outside,Generic Room,
NORTH,0,Generic North
SOUTH,7,Generic South
EAST,9,Generic East
WEST,6,Generic West
9,outside,Generic Room,
NORTH,0,Generic North
SOUTH,7,Generic South
EAST,0,Generic East
WEST,8,Generic West
10,outside,Generic Room,
NORTH,0,Generic North
SOUTH,5,Generic South
EAST,9,Generic East
WEST,83,Generic West
11,outside,Generic Room,
NORTH,35,Generic North
SOUTH,57,Generic South
EAST,84,Generic East
WEST,85,Generic West
12,outside,Generic Room,
NORTH,0,Generic North
SOUTH,5,Generic South
EAST,10,Generic East
WEST,83,Generic West
13,outside,Generic Room,
NORTH,14,Generic North
SOUTH,97,Generic South
EAST,83,Generic East
WEST,81,Generic West
14,outside,Generic Room,
NORTH,0,Generic North
SOUTH,85,Generic South
EAST,35,Generic East
WEST,36,Generic West
15,outside,Generic Room,
NORTH,97,Generic North
SOUTH,49,Generic South
EAST,92,Generic East
WEST,48,Generic West
16,outside,Generic Room,
NORTH,49,Generic North
SOUTH,21,Generic South
EAST,51,Generic East
WEST,76,Generic West
17,outside,Generic Room,
NORTH,43,Generic North
SOUTH,53,Generic South
EAST,50,Generic East
WEST,29,Generic West
18,outside,Generic Room,
NORTH,88,Generic North
SOUTH,75,Generic South
EAST,76,Generic East
WEST,66,Generic West
19,outside,Generic Room,
NORTH,29,Generic North
SOUTH,26,Generic South
EAST,53,Generic East
WEST,65,Generic West
20,outside,Generic Room,
NORTH,76,Generic North
SOUTH,0,Generic South
EAST,21,Generic East
WEST,75,Generic West
21,outside,Generic Room,
NORTH,50,Generic North
SOUTH,24,Generic South
EAST,0,Generic East
WEST,53,Generic West
22,outside,Generic Room,
NORTH,97,Generic North
SOUTH,49,Generic South
EAST,92,Generic East
WEST,48,Generic West
23,outside,Generic Room,
NORTH,49,Generic North
SOUTH,21,Generic South
EAST,51,Generic East
WEST,76,Generic West
24,outside,Generic Room,
NORTH,21,Generic North
SOUTH,95,Generic South
EAST,93,Generic East
WEST,17,Generic West
25,outside,Generic Room,
NORTH,21,Generic North
SOUTH,94,Generic South
EAST,0,Generic East
WEST,24,Generic West
26,outside,Generic Room,
NORTH,75,Generic North
SOUTH,74,Generic South
EAST,25,Generic East
WEST,27,Generic West
27,outside,Generic Room,
NORTH,65,Generic North
SOUTH,73,Generic South
EAST,26,Generic East
WEST,70,Generic West
28,outside,Generic Room,
NORTH,66,Generic North
SOUTH,27,Generic South
EAST,75,Generic East
WEST,246,Generic West
29,outside,Generic Room,
NORTH,88,Generic North
SOUTH,75,Generic South
EAST,76,Generic East
WEST,66,Generic West
30,outside,Generic Room,
NORTH,89,Generic North
SOUTH,43,Generic South
EAST,96,Generic East
WEST,42,Generic West
31,outside,Generic Room,
NORTH,96,Generic North
SOUTH,50,Generic South
EAST,56,Generic East
WEST,43,Generic West
32,outside,Generic Room,
NORTH,97,Generic North
SOUTH,49,Generic South
EAST,92,Generic East
WEST,48,Generic West
33,outside,Generic Room,
NORTH,85,Generic North
SOUTH,96,Generic South
EAST,57,Generic East
WEST,89,Generic West
34,outside,Generic Room,
NORTH,83,Generic North
SOUTH,92,Generic South
EAST,5,Generic East
WEST,97,Generic West
35,outside,Generic Room,
NORTH,11,Generic North
SOUTH,83,Generic South
EAST,5,Generic East
WEST,14,Generic West
36,outside,Generic Room,
NORTH,0,Generic North
SOUTH,81,Generic South
EAST,14,Generic East
WEST,14,Generic West
37,outside,Generic Room,
NORTH,85,Generic North
SOUTH,96,Generic South
EAST,57,Generic East
WEST,89,Generic West
38,outside,Generic Room,
NORTH,81,Generic North
SOUTH,48,Generic South
EAST,97,Generic East
WEST,98,Generic West
39,outside,Generic Room,
NORTH,97,Generic North
SOUTH,49,Generic South
EAST,92,Generic East
WEST,48,Generic West
40,outside,Generic Room,
NORTH,85,Generic North
SOUTH,96,Generic South
EAST,57,Generic East
WEST,89,Generic West
41,outside,Generic Room,
NORTH,87,Generic North
SOUTH,42,Generic South
EAST,89,Generic East
WEST,99,Generic West
42,outside,Generic Room,
NORTH,98,Generic North
SOUTH,88,Generic South
EAST,48,Generic East
WEST,0,Generic West
43,outside,Generic Room,
NORTH,48,Generic North
SOUTH,76,Generic South
EAST,49,Generic East
WEST,88,Generic West
44,outside,Generic Room,
NORTH,97,Generic North
SOUTH,49,Generic South
EAST,92,Generic East
WEST,48,Generic West
45,outside,Generic Room,
NORTH,85,Generic North
SOUTH,96,Generic South
EAST,57,Generic East
WEST,89,Generic West
46,outside,Generic Room,
NORTH,87,Generic North
SOUTH,42,Generic South
EAST,89,Generic East
WEST,99,Generic West
47,outside,Generic Room,
NORTH,42,Generic North
SOUTH,29,Generic South
EAST,43,Generic East
WEST,67,Generic West
48,outside,Generic Room,
NORTH,89,Generic North
SOUTH,43,Generic South
EAST,96,Generic East
WEST,42,Generic West
49,outside,Generic Room,
NORTH,96,Generic North
SOUTH,50,Generic South
EAST,56,Generic East
WEST,43,Generic West
50,outside,Generic Room,
NORTH,49,Generic North
SOUTH,21,Generic South
EAST,51,Generic East
WEST,76,Generic West
51,outside,Generic Room,
NORTH,56,Generic North
SOUTH,21,Generic South
EAST,0,Generic East
WEST,50,Generic West
52,outside,Generic Room,
NORTH,43,Generic North
SOUTH,53,Generic South
EAST,50,Generic East
WEST,29,Generic West
53,outside,Generic Room,
NORTH,76,Generic North
SOUTH,20,Generic South
EAST,21,Generic East
WEST,75,Generic West
54,outside,Generic Room,
NORTH,81,Generic North
SOUTH,48,Generic South
EAST,97,Generic East
WEST,98,Generic West
55,outside,Generic Room,
NORTH,97,Generic North
SOUTH,49,Generic South
EAST,92,Generic East
WEST,48,Generic West
56,outside,Generic Room,
NORTH,92,Generic North
SOUTH,51,Generic South
EAST,3,Generic East
WEST,49,Generic West
57,outside,Generic Room,
NORTH,83,Generic North
SOUTH,92,Generic South
EAST,5,Generic East
WEST,97,Generic West
58,outside,Generic Room,
NORTH,87,Generic North
SOUTH,42,Generic South
EAST,89,Generic East
WEST,99,Generic West
59,outside,Generic Room,
NORTH,42,Generic North
SOUTH,29,Generic South
EAST,43,Generic East
WEST,67,Generic West
60,outside,Generic Room,
NORTH,81,Generic North
SOUTH,48,Generic South
EAST,97,Generic East
WEST,98,Generic West
61,outside,Generic Room,
NORTH,87,Generic North
SOUTH,42,Generic South
EAST,89,Generic East
WEST,99,Generic West
62,outside,Generic Room,
NORTH,0,Generic North
SOUTH,98,Generic South
EAST,81,Generic East
WEST,86,Generic West
63,outside,Generic Room,
NORTH,42,Generic North
SOUTH,29,Generic South
EAST,43,Generic East
WEST,67,Generic West
64,outside,Generic Room,
NORTH,29,Generic North
SOUTH,26,Generic South
EAST,53,Generic East
WEST,65,Generic West
65,outside,Generic Room,
NORTH,66,Generic North
SOUTH,27,Generic South
EAST,75,Generic East
WEST,246,Generic West
66,outside,Generic Room,
NORTH,67,Generic North
SOUTH,65,Generic South
EAST,29,Generic East
WEST,0,Generic West
67,outside,Generic Room,
NORTH,0,Generic North
SOUTH,66,Generic South
EAST,88,Generic East
WEST,0,Generic West
68,outside,Generic Room,
NORTH,27,Generic North
SOUTH,66,Generic South
EAST,74,Generic East
WEST,69,Generic West
69,outside,Generic Room,
NORTH,70,Generic North
SOUTH,247,Generic South
EAST,73,Generic East
WEST,244,Generic West
70,outside,Generic Room,
NORTH,246,Generic North
SOUTH,69,Generic South
EAST,27,Generic East
WEST,0,Generic West
71,outside,Generic Room,
NORTH,69,Generic North
SOUTH,69,Generic South
EAST,27,Generic East
WEST,248,Generic West
72,outside,Generic Room,
NORTH,69,Generic North
SOUTH,70,Generic South
EAST,65,Generic East
WEST,0,Generic West
73,outside,Generic Room,
NORTH,27,Generic North
SOUTH,70,Generic South
EAST,74,Generic East
WEST,69,Generic West
74,outside,Generic Room,
NORTH,26,Generic North
SOUTH,0,Generic South
EAST,0,Generic East
WEST,73,Generic West
75,outside,Generic Room,
NORTH,29,Generic North
SOUTH,26,Generic South
EAST,53,Generic East
WEST,65,Generic West
76,outside,Generic Room,
NORTH,43,Generic North
SOUTH,53,Generic South
EAST,50,Generic East
WEST,29,Generic West
77,outside,Generic Room,
NORTH,81,Generic North
SOUTH,48,Generic South
EAST,97,Generic East
WEST,98,Generic West
78,outside,Generic Room,
NORTH,87,Generic North
SOUTH,42,Generic South
EAST,89,Generic East
WEST,99,Generic West
79,outside,Generic Room,
NORTH,42,Generic North
SOUTH,29,Generic South
EAST,43,Generic East
WEST,67,Generic West
80,outside,Generic Room,
NORTH,81,Generic North
SOUTH,48,Generic South
EAST,97,Generic East
WEST,98,Generic West
81,outside,Generic Room,
NORTH,36,Generic North
SOUTH,89,Generic South
EAST,85,Generic East
WEST,87,Generic West
82,outside,Generic Room,
NORTH,14,Generic North
SOUTH,97,Generic South
EAST,83,Generic East
WEST,81,Generic West
