25
1,outside,Generic Room,
NORTH,25,Generic North
SOUTH,0,Generic South
EAST,16,Generic East
WEST,2,Generic West
2,outside,Generic Room,
NORTH,0,Generic North
SOUTH,0,Generic South
EAST,15,Generic East
WEST,5,Generic West
3,outside,Generic Room,
NORTH,0,Generic North
SOUTH,6,Generic South
EAST,2,Generic East
WEST,4,Generic West
4,outside,Generic Room,
NORTH,0,Generic North
SOUTH,7,Generic South
EAST,5,Generic East
WEST,0,Generic West
5,outside,Generic Room,
NORTH,0,Generic North
SOUTH,6,Generic South
EAST,2,Generic East
WEST,4,Generic West
6,outside,Generic Room,
NORTH,5,Generic North
SOUTH,0,Generic South
EAST,2,Generic East
WEST,7,Generic West
7,outside,Generic Room,
NORTH,4,Generic North
SOUTH,8,Generic South
EAST,6,Generic East
WEST,0,Generic West
8,outside,Generic Room,
NORTH,7,Generic North
SOUTH,9,Generic South
EAST,6,Generic East
WEST,0,Generic West
9,outside,Generic Room,
NORTH,8,Generic North
SOUTH,0,Generic South
EAST,10,Generic East
WEST,0,Generic West
10,outside,Generic Room,
NORTH,8,Generic North
SOUTH,0,Generic South
EAST,11,Generic East
WEST,9,Generic West
11,outside,Generic Room,
NORTH,0,Generic North
SOUTH,14,Generic South
EAST,12,Generic East
WEST,10,Generic West
12,outside,Generic Room,
NORTH,0,Generic North
SOUTH,13,Generic South
EAST,0,Generic East
WEST,11,Generic West
13,outside,Generic Room,
NORTH,12,Generic North
SOUTH,0,Generic South
EAST,0,Generic East
WEST,14,Generic West
14,outside,Generic Room,
NORTH,11,Generic North
SOUTH,0,Generic South
EAST,13,Generic East
WEST,0,Generic West
15,outside,Generic Room,
NORTH,25,Generic North
SOUTH,0,Generic South
EAST,16,Generic East
WEST,2,Generic West
16,outside,Generic Room,
NORTH,21,Generic North
SOUTH,17,Generic South
EAST,0,Generic East
WEST,15,Generic West
17,outside,Generic Room,
NORTH,16,Generic North
SOUTH,20,Generic South
EAST,18,Generic East
WEST,15,Generic West
18,outside,Generic Room,
NORTH,16,Generic North
SOUTH,19,Generic South
EAST,0,Generic East
WEST,17,Generic West
19,outside,Generic Room,
NORTH,18,Generic North
SOUTH,0,Generic South
EAST,0,Generic East
WEST,20,Generic West
20,outside,Generic Room,
NORTH,17,Generic North
SOUTH,0,Generic South
EAST,19,Generic East
WEST,0,Generic West
21,outside,Generic Room,
NORTH,22,Generic North
SOUTH,16,Generic South
EAST,19,Generic East
WEST,25,Generic West
22,outside,Generic Room,
NORTH,0,Generic North
SOUTH,21,Generic South
EAST,0,Generic East
WEST,23,Generic West
23,outside,Generic Room,
NORTH,0,Generic North
SOUTH,25,Generic South
EAST,22,Generic East
WEST,24,Generic West
24,outside,Generic Room,
NORTH,0,Generic North
SOUTH,0,Generic South
EAST,23,Generic East
WEST,0,Generic West
25,outside,Generic Room,
NORTH,23,Generic North
SOUTH,15,Generic South
EAST,21,Generic East
WEST,24,Generic West
