60
1,outside,Clock in the Main Quad,You are standing in front of the George Mason University Clock. A plaque on the clock says it was a gift from the Class of 1999
NORTH,42,You walk towards Fenwick.
SOUTH,3,You walk around the grassy median and head south,past the Johnson Center.
EAST,30,You walk towards the plaza
WEST,4,You try to walk west towards the southside,skyline,and the dorms,and the large student rally is gone!,Home here I come!.
2,outside,Mason Statue,There is a large statue of George Mason resting at the end of the sidewalk. The Mason statue is currently wearing a green Patriots basketball t-shirt.
NORTH,38,You walk towards SUB I.
SOUTH,46,You walk into the Center for the Arts.
WEST,30,You walk around the fountains as you head towards North Plaza.
EAST,0,You look to the west and see a very long staircase just past the traffic circle. You decide against going that direction.
3,outside,Outside of Exploratory Hall,You are standing out front of the new Exploratory Hall.
NORTH,1,You head up the sidewalk,towards the clock.
SOUTH,9,You try to head south,but too many students are smoking near Enterprise hall,so you stay where you are.
WEST,19,You try to head towards the South Plaza
EAST,8,You look towards Exploratory Hall,but decide to just admire the view from where you are.
4,outside,southside/skyline underpass,You're underneath an underpass between skyline and southside
NORTH,7,You head to skyline fitness.
SOUTH,6,You head to southside.
WEST,5,You head to the dorms.
EAST,1,You head to the clock tower.
5,inside,Dorm Building,Dorm Building main hallway leading to the elevator.
NORTH,100000,You head north,into the elevator.
SOUTH,0,You try to head south,back to the Hallway.
WEST,0,You tried heading west,there is nothing there.
EAST,4,You head back to the southside/skyline underpass
6,inside,Southside - a dining hall,You're southside hopefully you can find some decent food
NORTH,4,You leave southside.
SOUTH,0,You get stuck looking at food.
WEST,0,You get stuck looking at food.
EAST,0,You get stuck looking at food.
7,inside,Skyline - a gym,You're in the skyline gym
NORTH,0,You get scared off by some gym equipment
SOUTH,4,You leave skyline
WEST,0,You get scared off by some gym equipment
EAST,0,You get scared off by some gym equipment
8,inside,Exploratory Hall,You're in Exploratory hall and see some periodic tables
NORTH,0,You trip over a table.
SOUTH,0,You walk into a wall.
WEST,3,You leave Exploratory Hall.
EAST,0,You walk into a wall.
9,outside,Enterprise Hall Underpass,You're between the two sides of Enterprise and choking on smoke
NORTH,3,You walk towards Exploratory Hall.
SOUTH,12,You walk along Research Hall.
WEST,11,You walk to side 'b' of Enterprise Hall.
EAST,10,You walk to side 'a' of Enterprise Hall.
10,inside,Side 'a' of Enterprise Hall,You're in one side of enterprise hall
NORTH,0,You walk into a wall.
SOUTH,0,You walk into a wall.
WEST,9,You walk out of Enterprise Hall.
EAST,0,trip over a bench.
11,inside,Side 'b' of Enterprise Hall,You're in one side of Enterprise hall
NORTH,0,You walk into a wall.
SOUTH,0,You walk into a wall.
WEST,0,trip over a bench.
EAST,9,You walk out of Enterprise Hall.
12,outside,Path along Research Hall,You're walking along the side of Research hall
NORTH,9,You walk towards Enterprise Hall.
SOUTH,13,You walk towards the Engineering building.
WEST,15,You walk towards the School of Art.
EAST,14,You walk towards Research Hall.
13,inside,Engineering Building,You're in the engineering and see some nice windows
